task_id,task_name,task_source,task_class_count,task_type,text_col,label_col,task_hf_dataset_name,task_hf_subset_name,task_hf_url,task_instruction,task_criticalness
1054,1054,llm,3,train,,,1054,,,"Classify the user inquiries into the following urgency levels: 'High Urgency', 'Medium Urgency', 'Low Urgency'. 'High Urgency' should be assigned to inquiries that indicate system outages or critical issues affecting usability; 'Medium Urgency' for issues that may lead to frustration but do not halt functionality; and 'Low Urgency' for general inquiries or requests for information that do not require immediate attention.",Medium Criticalness
1055,1055,llm,5,train,,,1055,,,"Classify the given news article excerpt into one of the following categories based on the primary social issue it addresses: 'Racial Inequality', 'Gender Rights', 'LGBTQ+ Issues', 'Environmental Justice', or 'Economic Inequality'.",Low Criticalness
1056,1056,llm,6,train,,,1056,,,"Classify the provided e-commerce product reviews into one of the following categories based on the specific features discussed: 'durability', 'ease of use', 'design/style', 'performance', 'customer service', or 'value for money'.",Low Criticalness
1057,1057,llm,4,train,,,1057,,,"Classify the relationships between biomedical entities in the following texts into one of the following categories: 'Drug-Drug Interaction', 'Disease-Symptom Association', 'Treatment-Efficacy Relationship', or 'No Relationship'.",Low Criticalness
1058,1058,llm,5,train,,,1058,,,"Classify the provided legal text samples into one of the following categories based on the primary intellectual property issue addressed: 'copyright', 'trademark', 'patent', 'trade secret', or 'none of the above'.",Medium Criticalness
1059,1059,llm,2,train,,,1059,,,"Classify the given financial text as either 'Yes' if it contains language that suggests potential regulatory concerns or compliance issues, or 'No' if it does not contain such language.",Low Criticalness
1060,1060,llm,5,train,,,1060,,,"Classify the provided social media posts into one of the following endorsement types: 'Sponsored', 'Affiliate', 'Gifted', 'Organic', or 'Not an Endorsement'.",High Criticalness
1061,1061,llm,3,train,,,1061,,,"Given a research paper's abstract or introduction, classify it into one of the following categories based on its status in the peer-review process: 'Accepted', 'Rejected', or 'Under Review'.",Low Criticalness
1062,1062,llm,3,train,,,1062,,,"Classify the given text as one of the following categories based on its intent: 'Malicious', 'Innocuous', or 'Ambiguous'. 'Malicious' indicates intent to deceive, harm, or exploit; 'Innocuous' indicates no harmful intent; 'Ambiguous' indicates uncertainty in the intent that requires further context to assess accurately.",Medium Criticalness
1063,1063,llm,4,train,,,1063,,,"Given a technical support query regarding software systems, classify the issue based on version compatibility into one of the following categories: 'Backward Compatibility Issue', 'Forward Compatibility Issue', 'No Compatibility Issue', or 'Upgrade Recommendation Needed'.",High Criticalness
1064,1064,llm,7,train,,,1064,,,"Classify the given news articles into one of the following economic themes: 'Inflation', 'Unemployment', 'Trade', 'Government Policy', 'Market Trends', 'Financial Regulation', 'Consumer Spending'.",Low Criticalness
1065,1065,llm,4,train,,,1065,,,"Classify the following product descriptions into one of the categories based on their ethical sourcing and sustainability practices: 'Fully Sustainable', 'Ethically Sourced', 'Conventional', 'Not Specified'.",High Criticalness
1066,1066,llm,2,train,,,1066,,,Classify the given text as either 'ethical_concern' or 'no_ethical_concern' based on whether the text discusses potential ethical implications or issues related to drug development and marketing practices.,Low Criticalness
1067,1067,llm,4,train,,,1067,,,"Classify the given legal text samples into one of the following categories: 'fully compliant', 'partially compliant', 'non-compliant', or 'unclear'. Each category reflects the degree to which the text meets the identified legal standards or regulations.",Medium Criticalness
1068,1068,llm,3,train,,,1068,,,"Classify the provided financial report summaries into one of the following categories: 'Healthy', 'Warning Signs', or 'Critical'. This classification should be based on the overall tone, financial indicators, and language used in the summaries that suggest the financial health of the organization.",Medium Criticalness
1069,1069,llm,2,train,,,1069,,,"Classify the given social media comments into one of the following categories: 'elevating' for comments that positively contribute to the discussion or community morale, and 'detracting' for comments that negatively impact the conversation or discourage engagement.",Low Criticalness
1070,1070,llm,4,train,,,1070,,,"Classify each provided academic paper excerpt into one of the following categories based on the strength and clarity of the argument presented: 'Strong Argument', 'Moderate Argument', 'Weak Argument', or 'No Argument'.",High Criticalness
1071,1071,llm,6,train,,,1071,,,"Classify the given security-related text descriptions into one of the following categories: 'SQL Injection', 'Cross-Site Scripting (XSS)', 'Denial of Service (DoS)', 'Man-in-the-Middle Attack', 'Buffer Overflow', or 'Other'.",Low Criticalness
1072,1072,llm,2,train,,,1072,,,"Classify the following technical support inquiries into two categories: 'troubleshooting_request' for texts that seek guidance on how to resolve a technical issue via step-by-step instructions, and 'service_escalation' for requests that indicate the need for immediate action from a higher level of technical support or service management.",Low Criticalness
1073,1073,llm,2,train,,,1073,,,"Classify the given news article as either 'Biased' or 'Neutral'. A 'Biased' article presents opinions or perspectives that favor one side over another, while a 'Neutral' article provides balanced reporting without showing favoritism.",Low Criticalness
1074,1074,llm,4,train,,,1074,,,"Classify the given product review text into one of the following risk levels based on the concerns and issues raised: 'High Risk', 'Medium Risk', 'Low Risk', or 'No Risk'.",High Criticalness
1075,1075,llm,5,train,,,1075,,,"Classify the provided biomedical research abstracts into one of the following categories based on the type of anomaly identified: 'Sampling Bias', 'Measurement Error', 'Data Exclusion', 'Confounding Variable', or 'Reporting Bias'.",High Criticalness
1076,1076,llm,3,train,,,1076,,,"Classify the given legal documents based on their emotional tone into one of the following categories: 'justice', 'injustice', or 'neutral'.",Low Criticalness
1077,1077,llm,5,train,,,1077,,,"Classify the provided financial analytical reports into one of the following categories based on their analysis content: 'Fundamental Analysis', 'Technical Analysis', 'Quantitative Analysis', 'Risk Analysis', 'Market Sentiment Analysis'.",Medium Criticalness
1078,1078,llm,2,train,,,1078,,,"Classify the given social media post as 'Altruism' if it reflects concern or actions meant to help others without personal gain, or 'Self-Interest' if it indicates motivations primarily aimed at personal benefit.",Low Criticalness
1079,1079,llm,3,train,,,1079,,,"Classify the given academic text based on the primary research method utilized. The labels are: 'Qualitative', 'Quantitative', and 'Mixed Methods'.",Low Criticalness
1080,1080,llm,4,train,,,1080,,,"Classify the provided text about software updates into one of the following categories based on the security implications: High Risk, Medium Risk, Low Risk, No Risk. Consider the content of the text, including mentions of vulnerabilities, patch details, and security advisories.",Medium Criticalness
1081,1081,llm,5,train,,,1081,,,"Classify the user's inquiry into one of the following emotional categories based on the tone and content of the text: 'frustrated', 'confused', 'satisfied', 'anxious', 'neutral'.",High Criticalness
1082,1082,llm,2,train,,,1082,,,Classify the given news articles as presenting either a 'positive' or 'negative' narrative about the same event based on the language and framing used by the author.,Low Criticalness
1083,1083,llm,5,train,,,1083,,,"Classify the following customer inquiry texts into one of the categories: 'Product Inquiry', 'Order Status', 'Return Request', 'Promotional Inquiry', or 'Customer Support Issue'. Each label corresponds to the type of service or information the customer is seeking.",Medium Criticalness
1084,1084,llm,5,train,,,1084,,,"Classify the given biomedical research abstract into one of the following categories based on the mechanism of action described: 'immunotherapy', 'gene therapy', 'small molecule inhibition', 'enzyme activity modulation', or 'antibody-based therapy'.",Medium Criticalness
1085,1085,llm,3,train,,,1085,,,"Classify the provided legal text into one of the following categories based on its potential admissibility in court: 'Admissible' if it meets all legal standards for evidence, 'Not Admissible' if it fails to meet legal standards due to reasons such as hearsay, lack of relevance, or other legal prohibitions, and 'Uncertain' if it is unclear whether the text could be ruled admissible or not without further context or details.",Medium Criticalness
1086,1086,llm,5,train,,,1086,,,"Classify the given text related to finance into one of the following categories based on the ethical implications portrayed: 'Deceptive Practices', 'Fair Practices', 'Conflicted Interests', 'Transparent Practices', 'Fraudulent Behavior'.",High Criticalness
1087,1087,llm,6,train,,,1087,,,"Classify the given social media post content into one of the following influencer categories: 'Fashion', 'Food', 'Travel', 'Fitness', 'Technology', or 'Lifestyle'.",Medium Criticalness
1088,1088,llm,5,train,,,1088,,,"Given a piece of academic text, classify it based on the primary rhetorical strategy employed: 'Argumentative', 'Descriptive', 'Expository', 'Narrative', 'Persuasive'.",High Criticalness
1089,1089,llm,2,train,,,1089,,,"Classify the given network traffic data as either 'Normal' or 'Suspicious'. 'Normal' indicates typical network behavior, while 'Suspicious' indicates potential malicious activity that may require further investigation.",Low Criticalness
1090,1090,llm,2,train,,,1090,,,"Classify the given technical support query as 'Specific' if the request mentions a particular product, model, or error code, and as 'General' if the request is vague or does not refer to a specific item.",Low Criticalness
1091,1091,llm,4,train,,,1091,,,"Given a corporate sustainability report or statement, classify the text into one of the following ethical assessment categories: 'Ethically Sound', 'Partially Ethically Sound', 'Ethically Unsound', or 'Needs Further Evaluation'.",Medium Criticalness
1092,1092,llm,5,train,,,1092,,,"Classify the given text based on the presence of specific ESG practices or themes. The text should be categorized into one of the following labels: 'Environmental Initiative', 'Social Responsibility', 'Governance Practice', 'Sustainable Development', or 'None of the Above'.",Medium Criticalness
1093,1093,llm,2,train,,,1093,,,Classify the provided text as 'Valid Claim' or 'Invalid Claim' based on the verification of environmental sustainability assertions made by companies in their reports or advertisements.,Low Criticalness
1094,1094,llm,17,train,,,1094,,,"Given a text passage, classify it into one of the following categories based on its alignment with the UN Sustainable Development Goals: 'Goal 1: No Poverty', 'Goal 2: Zero Hunger', 'Goal 3: Good Health and Well-being', 'Goal 4: Quality Education', 'Goal 5: Gender Equality', 'Goal 6: Clean Water and Sanitation', 'Goal 7: Affordable and Clean Energy', 'Goal 8: Decent Work and Economic Growth', 'Goal 9: Industry, Innovation and Infrastructure', 'Goal 10: Reduced Inequalities', 'Goal 11: Sustainable Cities and Communities', 'Goal 12: Responsible Consumption and Production', 'Goal 13: Climate Action', 'Goal 14: Life Below Water', 'Goal 15: Life on Land', 'Goal 16: Peace, Justice and Strong Institutions', 'Goal 17: Partnerships for the Goals'.",High Criticalness
1095,1095,llm,7,train,,,1095,,,"Classify the provided sustainability report excerpts into one of the following categories: 'Carbon Neutrality Commitment', 'Sustainable Sourcing', 'Waste Reduction Initiatives', 'Social Responsibility Programs', 'Diversity and Inclusion Efforts', 'Governance Policies', or 'Community Engagement'.",Medium Criticalness
1096,1096,llm,3,train,,,1096,,,"Classify the provided text as either 'positive' if it promotes or highlights beneficial environmental or social practices, 'negative' if it critiques or highlights harmful practices, or 'neutral' if it presents information without a clear sentiment or promotes balanced viewpoints.",Low Criticalness
1097,1097,llm,4,train,,,1097,,,"Classify the provided text samples describing various corporate strategies into one of the following categories based on their impact on sustainability: 'High Impact', 'Moderate Impact', 'Low Impact', and 'No Impact'. Consider the effectiveness and measurable outcomes of the strategies presented.",High Criticalness
1098,1098,llm,3,train,,,1098,,,"Classify the given sustainability initiative text into one of the following categories based on its operational scope: 'Local', 'National', or 'Global'.",Low Criticalness
1099,1099,llm,2,train,,,1099,,,Classify the provided corporate sustainability statements as either 'genuine' if they reflect a true commitment to sustainable practices or 'greenwashing' if they only serve to create a misleading perception of sustainability efforts.,Low Criticalness
1100,1100,llm,4,train,,,1100,,,"Given a text that describes a sustainability proposal or project, classify its intent into one of the following categories: 'Mitigation', 'Adaptation', 'Conservation', or 'Innovation'.",Medium Criticalness
